Make,Model,Mileage,Engine_Size,Fuel_Type,Transmission,Age,Price
Honda,Vezel,118000,2000,Petrol,Automatic,8,2450000
Honda,Vezel,142000,1500,Petrol,Automatic,8,2350000
Honda,Vezel,36000,1400,Petrol,Automatic,8,2350000
Honda,Vezel,114577,1500,Petrol,Automatic,9,2300000
Honda,Vezel,157000,1500,Petrol,Automatic,8,2215000
Hyundai,Santa Fe,108000,3000,Petrol,Automatic,8,3515000
Hyundai,Santa Fe,50786,2400,Petrol,Automatic,9,2400000
Hyundai,Santa Fe,101826,2400,Petrol,Automatic,14,1600000
Isuzu,D-Max,71000,2000,Diesel,Automatic,6,4815000
Isuzu,D-Max,87000,2499,Diesel,Automatic,8,4565000
Isuzu,D-Max,17000,2500,Diesel,Automatic,2,4200000
Isuzu,D-Max,89000,2499,Diesel,Automatic,8,3815000
Isuzu,D-Max,39000,2500,Diesel,Automatic,3,3700000
Isuzu,D-Max,92000,2500,Diesel,Manual,9,3650000
Isuzu,D-Max,93000,2500,Diesel,Automatic,9,3415000
Isuzu,D-Max,60000,2500,Diesel,Automatic,7,3300000
Isuzu,D-Max,72000,2500,Diesel,Automatic,9,3215000
Isuzu,D-Max,99000,2500,Diesel,Automatic,5,2650000
Isuzu,D-Max,372372,2500,Diesel,Manual,10,1250000
Isuzu,D-Max,135204,2400,Petrol,Automatic,10,700000
Jaguar,XF,48000,3000,Petrol,Automatic,13,2300000
Jaguar,XF,43000,1999,Petrol,Automatic,9,2166000
Jaguar,XF,129000,2000,Petrol,Automatic,11,2000000
Jeep,Compass,76000,2700,Petrol,Automatic,8,7550000
Jeep,Compass,161109,2000,Petrol,Automatic,11,1800000
Jeep,Compass,102027,2400,Petrol,Automatic,9,1767000
Jeep,Grand Cherokee,110000,3600,Petrol,Automatic,10,4650000
Jeep,Grand Cherokee,156000,3600,Petrol,Automatic,10,3400000
Land rover,Discovery 3,160000,2400,Diesel,Automatic,14,4200000
Land rover,Discovery 3,155325,3000,Diesel,Automatic,11,3100000
Land rover,Discovery 3,158984,2700,Diesel,Automatic,18,2700000
Land rover,Discovery 3,180336,2700,Petrol,Automatic,16,1800000
Land rover,Discovery 4,102000,3000,Diesel,Automatic,8,7815000
Land rover,Discovery 4,98000,3000,Diesel,Automatic,8,7515000
Land rover,Discovery 4,63000,3000,Diesel,Automatic,8,7515000
Land rover,Discovery 4,103000,2993,Diesel,Automatic,8,7515000
Land rover,Discovery 4,52000,3000,Diesel,Automatic,8,7300000
Land rover,Discovery 4,118000,3000,Diesel,Automatic,8,7215000
Land rover,Discovery 4,71000,3000,Diesel,Automatic,8,7215000
Land rover,Discovery 4,134000,3500,Diesel,Automatic,10,7015000
Land rover,Discovery 4,121000,3000,Diesel,Automatic,8,6915000
Land rover,Discovery 4,88000,3000,Diesel,Automatic,8,6915000
Land rover,Discovery 4,61000,3000,Diesel,Automatic,8,6915000
Land rover,Discovery 4,87019,2179,Diesel,Automatic,9,6200000
Land rover,Discovery 4,29000,2000,Diesel,Automatic,8,5815000
Land rover,Discovery 4,113000,2993,Diesel,Automatic,12,3700000
Land rover,Range Rover,80000,5000,Petrol,Automatic,10,14400000
Land rover,Range Rover,30241,5000,Petrol,Automatic,10,14300000
Land rover,Range Rover,79585,3000,Diesel,Automatic,8,11000000
Land rover,Range Rover,51000,3000,Diesel,Automatic,9,9515000
Land rover,Range Rover,158354,3000,Diesel,Automatic,19,2500000
Land rover,Range Rover Evoque,87000,3000,Petrol,Automatic,8,12000000
Land rover,Range Rover Evoque,92000,2000,Petrol,Automatic,8,8015000
Land rover,Range Rover Evoque,45000,2500,Petrol,Automatic,8,7900000
Land rover,Range Rover Evoque,42000,2500,Petrol,Automatic,8,7500000
Land rover,Range Rover Evoque,86000,2000,Petrol,Automatic,9,4515000
Land rover,Range Rover Evoque,120947,1990,Petrol,Automatic,10,3500000
Land rover,Range Rover Sport,80,3000,Diesel,Automatic,1,17520557
Land rover,Range Rover Sport,35411,3000,Diesel,Automatic,8,11500000
Land rover,Range Rover Sport,103000,4500,Petrol,Automatic,8,11015000
Land rover,Range Rover Sport,79000,3600,Petrol,Automatic,10,9515000
Land rover,Range Rover Sport,75000,4200,Petrol,Automatic,8,9215000
Land rover,Range Rover Sport,127000,3000,Diesel,Automatic,8,9015000
Land rover,Range Rover Sport,71000,2000,Petrol,Automatic,9,9015000
Land rover,Range Rover Sport,48000,3000,Petrol,Automatic,8,8615000
Land rover,Range Rover Sport,166000,3000,Petrol,Automatic,8,6600000
Land rover,Range Rover Sport,50739,5000,Petrol,Automatic,15,3950000
Land rover,Range Rover Sport,111651,2700,Diesel,Automatic,17,3200000
Lexus,LX 570,73796,5700,Petrol,Automatic,8,16000000
Lexus,LX 570,60703,5662,Petrol,Automatic,8,15950000
Lexus,LX 570,56000,5700,Petrol,Automatic,9,15500000
Lexus,LX 570,68000,5700,Petrol,Automatic,9,12015000
Lexus,LX 570,33000,5700,Petrol,Automatic,8,11695830
Lexus,LX 570,59000,5700,Petrol,Automatic,11,9900000
Lexus,NX,80490,2493,Petrol,Automatic,9,5500000
